"Date(UTC)","Pair","Side","Price","Executed","Amount","Fee"
"2021-02-22 11:13:44","TRXBTC","BUY","0.0000010200","194.0000000000TRX","0.00019788BTC","0.0000304100BNB"
"2021-02-22 10:30:28","RUNEBTC","SELL","0.0000804200","2.0000000000RUNE","0.00016084BTC","0.0000247200BNB"
"2021-02-22 10:29:59","PPTBTC","SELL","0.0000384400","4.0000000000PPT","0.00015376BTC","0.0000233600BNB"
"2021-02-22 10:24:40","WPRBTC","SELL","5.800E-7","240.0000000000WPR","0.00013920BTC","0.0000216400BNB"
"2021-02-22 10:18:14","IOTXBTC","SELL","4.800E-7","526.0000000000IOTX","0.00025248BTC","0.0000391400BNB"
"2021-02-22 10:16:23","DNTUSDT","SELL","0.2906300000","45.1000000000DNT","13.10741300USDT","0.0000381100BNB"
"2021-02-22 02:55:45","DNTUSDT","BUY","0.3059700000","45.1000000000DNT","13.79924700USDT","0.0000364800BNB"
"2021-02-20 16:27:07","VIBBTC","BUY","0.0000012200","127.0000000000VIB","0.00015494BTC","0.0000238000BNB"
"2021-02-20 16:11:34","VIBBTC","BUY","0.0000012600","122.0000000000VIB","0.00015372BTC","0.0000235100BNB"
"2021-02-20 15:46:17","POABTC","SELL","0.0000011400","139.0000000000POA","0.00015846BTC","0.0000246900BNB"
"2021-02-20 12:52:59","SKLUSDT","BUY","0.3248800000","34.9000000000SKL","11.33831200USDT","0.0000289200BNB"
